Format,Metric,Year,Value
Cassette,Units,1993,339.5
Cassette,Units,1994,345.4
Cassette,Units,1995,272.6
Cassette,Units,1996,225.3
Cassette,Units,1997,172.6
Cassette,Units,1998,158.5
Cassette,Units,1999,123.6
Cassette,Units,2000,76
Cassette,Units,2001,45
Cassette,Units,2002,31.1
Cassette,Units,2003,17.2
Cassette,Units,2004,5.2
Cassette,Units,2005,2.5
Cassette,Units,2006,0.7
Cassette,Units,2007,0.4
Cassette,Units,2008,0.1
Cassette,Units,2009,0
Cassette,Units,2010,0
Cassette,Units,2011,0
Cassette,Units,2012,
Cassette,Units,2013,
Cassette,Units,2014,
Cassette,Units,2015,
Cassette,Units,2016,
Cassette,Units,2017,
Cassette,Units,2018,
Cassette,Units,2019,
Cassette Single,Units,1973,
Cassette Single,Units,1974,
Cassette Single,Units,1975,
Cassette Single,Units,1976,
Cassette Single,Units,1977,
Cassette Single,Units,1978,
Cassette Single,Units,1979,
Cassette Single,Units,1980,
Cassette Single,Units,1981,
Cassette Single,Units,1982,
Cassette Single,Units,1983,
Cassette Single,Units,1984,
Cassette Single,Units,1985,
Cassette Single,Units,1986,
Cassette Single,Units,1987,5.1
Cassette Single,Units,1988,22.5
Cassette Single,Units,1989,76.2
Cassette Single,Units,1990,87.4
Cassette Single,Units,1991,69
Cassette Single,Units,1992,84.6
Cassette Single,Units,1993,85.6
Cassette Single,Units,1994,81.1
Cassette Single,Units,1995,70.7
Cassette Single,Units,1996,59.9
Cassette Single,Units,1997,42.2
Cassette Single,Units,1998,26.4
Cassette Single,Units,1999,14.2
Cassette Single,Units,2000,1.3
Cassette Single,Units,2001,-1.5
Cassette Single,Units,2002,-0.5
Cassette Single,Units,2003,0
Cassette Single,Units,2004,0
Cassette Single,Units,2005,0
Cassette Single,Units,2006,0
Cassette Single,Units,2007,0
Cassette Single,Units,2008,0
Cassette Single,Units,2009,0
Cassette Single,Units,2010,0
Cassette Single,Units,2011,0
Cassette Single,Units,2012,
Cassette Single,Units,2013,
Cassette Single,Units,2014,
Cassette Single,Units,2015,
Cassette Single,Units,2016,
Cassette Single,Units,2017,
Cassette Single,Units,2018,
Cassette Single,Units,2019,
LP/EP,Units,1973,280
LP/EP,Units,1974,276
LP/EP,Units,1975,257
LP/EP,Units,1976,273
LP/EP,Units,1977,344
LP/EP,Units,1978,341.3
LP/EP,Units,1979,290
LP/EP,Units,1980,308
LP/EP,Units,1981,295.2
LP/EP,Units,1982,243.9
LP/EP,Units,1983,209.6
LP/EP,Units,1984,204.6
LP/EP,Units,1985,167
LP/EP,Units,1986,125.2
LP/EP,Units,1987,107
LP/EP,Units,1988,72.4
LP/EP,Units,1989,34.6
LP/EP,Units,1990,11.7
LP/EP,Units,1991,4.8
LP/EP,Units,1992,2.3
LP/EP,Units,1993,1.2
LP/EP,Units,1994,1.9
LP/EP,Units,1995,2.2
LP/EP,Units,1996,2.9
LP/EP,Units,1997,2.7
LP/EP,Units,1998,3.4
LP/EP,Units,1999,2.9
LP/EP,Units,2000,2.2
LP/EP,Units,2001,2.3
LP/EP,Units,2002,1.743
LP/EP,Units,2003,1.5
LP/EP,Units,2004,1.4
LP/EP,Units,2005,1
LP/EP,Units,2006,0.9
LP/EP,Units,2007,1.3
LP/EP,Units,2008,2.9
LP/EP,Units,2009,3.5
LP/EP,Units,2010,4.2
LP/EP,Units,2011,5.5
LP/EP,Units,2012,6.915365189
LP/EP,Units,2013,9.35128587
LP/EP,Units,2014,10.31556391
LP/EP,Units,2015,13.68102972
LP/EP,Units,2016,14.77088603
LP/EP,Units,2017,15.55608917
LP/EP,Units,2018,16.67012733
LP/EP,Units,2019,19.10316283
Vinyl Single,Units,1973,228
Vinyl Single,Units,1974,204
Vinyl Single,Units,1975,164
Vinyl Single,Units,1976,190
Vinyl Single,Units,1977,190
Vinyl Single,Units,1978,190
Vinyl Single,Units,1979,212
Vinyl Single,Units,1980,157
Vinyl Single,Units,1981,154.7
Vinyl Single,Units,1982,137.2
Vinyl Single,Units,1983,124.8
Vinyl Single,Units,1984,131.5
Vinyl Single,Units,1985,120.7
Vinyl Single,Units,1986,93.9
Vinyl Single,Units,1987,82
Vinyl Single,Units,1988,65.6
Vinyl Single,Units,1989,36.6
Vinyl Single,Units,1990,27.6
Vinyl Single,Units,1991,22
Vinyl Single,Units,1992,19.8
Vinyl Single,Units,1993,15.1
Vinyl Single,Units,1994,11.7
Vinyl Single,Units,1995,10.2
Vinyl Single,Units,1996,10.1
Vinyl Single,Units,1997,7.5
Vinyl Single,Units,1998,5.4
Vinyl Single,Units,1999,5.3
Vinyl Single,Units,2000,4.8
Vinyl Single,Units,2001,5.5
Vinyl Single,Units,2002,4.4
Vinyl Single,Units,2003,3.8
Vinyl Single,Units,2004,3.5
Vinyl Single,Units,2005,2.3
Vinyl Single,Units,2006,1.5
Vinyl Single,Units,2007,0.6
Vinyl Single,Units,2008,0.4
Vinyl Single,Units,2009,0.3
Vinyl Single,Units,2010,0.3
Vinyl Single,Units,2011,0.4
Vinyl Single,Units,2012,0.388573687
Vinyl Single,Units,2013,0.315817054
Vinyl Single,Units,2014,0.481198278
Vinyl Single,Units,2015,0.50786991
Vinyl Single,Units,2016,0.404330651
Vinyl Single,Units,2017,0.402959365
Vinyl Single,Units,2018,0.346165002
Vinyl Single,Units,2019,0.336120488
8 - Track,Units,1973,91
8 - Track,Units,1974,96.7
8 - Track,Units,1975,94.6
8 - Track,Units,1976,106.1
8 - Track,Units,1977,127.3
8 - Track,Units,1978,133.6
8 - Track,Units,1979,102.3
8 - Track,Units,1980,85
8 - Track,Units,1981,50
8 - Track,Units,1982,13.7
8 - Track,Units,1983,0
8 - Track,Units,1984,0
8 - Track,Units,1985,0
8 - Track,Units,1986,0
8 - Track,Units,1987,0
8 - Track,Units,1988,0
8 - Track,Units,1989,0
8 - Track,Units,1990,0
8 - Track,Units,1991,0
8 - Track,Units,1992,0
8 - Track,Units,1993,0
8 - Track,Units,1994,0
8 - Track,Units,1995,0
8 - Track,Units,1996,0
8 - Track,Units,1997,0
8 - Track,Units,1998,0
8 - Track,Units,1999,0
8 - Track,Units,2000,0
8 - Track,Units,2001,0
8 - Track,Units,2002,0
8 - Track,Units,2003,0
8 - Track,Units,2004,0
8 - Track,Units,2005,0
8 - Track,Units,2006,0
8 - Track,Units,2007,0
8 - Track,Units,2008,0
8 - Track,Units,2009,0
8 - Track,Units,2010,0
8 - Track,Units,2011,0
8 - Track,Units,2012,
8 - Track,Units,2013,
8 - Track,Units,2014,
8 - Track,Units,2015,
8 - Track,Units,2016,
8 - Track,Units,2017,
8 - Track,Units,2018,
8 - Track,Units,2019,
Other Tapes,Units,1973,2.2
Other Tapes,Units,1974,1.9
Other Tapes,Units,1975,1.5
Other Tapes,Units,1976,0.7
Other Tapes,Units,1977,0
Other Tapes,Units,1978,0
Other Tapes,Units,1979,0
Other Tapes,Units,1980,0
Other Tapes,Units,1981,0
Other Tapes,Units,1982,0
Other Tapes,Units,1983,0
Other Tapes,Units,1984,0
Other Tapes,Units,1985,0
Other Tapes,Units,1986,0
Other Tapes,Units,1987,0
Other Tapes,Units,1988,0
Other Tapes,Units,1989,0
Other Tapes,Units,1990,0
Other Tapes,Units,1991,0
Other Tapes,Units,1992,0
Other Tapes,Units,1993,0
Other Tapes,Units,1994,0
Other Tapes,Units,1995,0
Other Tapes,Units,1996,0
Other Tapes,Units,1997,0
Other Tapes,Units,1998,0
Other Tapes,Units,1999,0
Other Tapes,Units,2000,0
Other Tapes,Units,2001,0
Other Tapes,Units,2002,0
Other Tapes,Units,2003,0
Other Tapes,Units,2004,0
Other Tapes,Units,2005,0
Other Tapes,Units,2006,0
Other Tapes,Units,2007,0
Other Tapes,Units,2008,0
Other Tapes,Units,2009,0
Other Tapes,Units,2010,0
Other Tapes,Units,2011,0
Other Tapes,Units,2012,
Other Tapes,Units,2013,
Other Tapes,Units,2014,
Other Tapes,Units,2015,
Other Tapes,Units,2016,
Other Tapes,Units,2017,
Other Tapes,Units,2018,
Other Tapes,Units,2019,
Music Video (Physical),Units,1973,
Music Video (Physical),Units,1974,
Music Video (Physical),Units,1975,
Music Video (Physical),Units,1976,
Music Video (Physical),Units,1977,
Music Video (Physical),Units,1978,
Music Video (Physical),Units,1979,
Music Video (Physical),Units,1980,
Music Video (Physical),Units,1981,
Music Video (Physical),Units,1982,
Music Video (Physical),Units,1983,
Music Video (Physical),Units,1984,
Music Video (Physical),Units,1985,
Music Video (Physical),Units,1986,
Music Video (Physical),Units,1987,
Music Video (Physical),Units,1988,
Music Video (Physical),Units,1989,6.1
Music Video (Physical),Units,1990,9.2
Music Video (Physical),Units,1991,6.1
Music Video (Physical),Units,1992,7.6
Music Video (Physical),Units,1993,11
Music Video (Physical),Units,1994,11.2
Music Video (Physical),Units,1995,12.6
Music Video (Physical),Units,1996,16.9
Music Video (Physical),Units,1997,18.6
Music Video (Physical),Units,1998,27.2
Music Video (Physical),Units,1999,19.8
Music Video (Physical),Units,2000,18.2
Music Video (Physical),Units,2001,17.7
Music Video (Physical),Units,2002,14.7
Music Video (Physical),Units,2003,19.9
Music Video (Physical),Units,2004,32.8
Music Video (Physical),Units,2005,33.8
Music Video (Physical),Units,2006,23.2
Music Video (Physical),Units,2007,27.5
Music Video (Physical),Units,2008,13.2
Music Video (Physical),Units,2009,11.6
Music Video (Physical),Units,2010,9.1
Music Video (Physical),Units,2011,7.7
Music Video (Physical),Units,2012,6.032725467
Music Video (Physical),Units,2013,4.814626524
Music Video (Physical),Units,2014,4.065323601
Music Video (Physical),Units,2015,3.133228006
Music Video (Physical),Units,2016,2.495531725
Music Video (Physical),Units,2017,1.87712837
Music Video (Physical),Units,2018,1.395058021
Music Video (Physical),Units,2019,1.32294236
DVD Audio,Units,1973,
DVD Audio,Units,1974,
DVD Audio,Units,1975,
DVD Audio,Units,1976,
DVD Audio,Units,1977,
DVD Audio,Units,1978,
DVD Audio,Units,1979,
DVD Audio,Units,1980,
DVD Audio,Units,1981,
DVD Audio,Units,1982,
DVD Audio,Units,1983,
DVD Audio,Units,1984,
DVD Audio,Units,1985,
DVD Audio,Units,1986,
DVD Audio,Units,1987,
DVD Audio,Units,1988,
DVD Audio,Units,1989,
DVD Audio,Units,1990,
DVD Audio,Units,1991,
DVD Audio,Units,1992,
DVD Audio,Units,1993,
DVD Audio,Units,1994,
DVD Audio,Units,1995,
DVD Audio,Units,1996,
DVD Audio,Units,1997,
DVD Audio,Units,1998,
DVD Audio,Units,1999,
DVD Audio,Units,2000,
DVD Audio,Units,2001,0.263
DVD Audio,Units,2002,0.43
DVD Audio,Units,2003,0.4
DVD Audio,Units,2004,0.3
DVD Audio,Units,2005,0.5
DVD Audio,Units,2006,0.1
DVD Audio,Units,2007,0.2
DVD Audio,Units,2008,0.04
DVD Audio,Units,2009,0.1
DVD Audio,Units,2010,0.04
DVD Audio,Units,2011,0.01
DVD Audio,Units,2012,0.008533145
DVD Audio,Units,2013,-0.054735168
DVD Audio,Units,2014,0.066542722
DVD Audio,Units,2015,0.179506738
DVD Audio,Units,2016,0.085898932
DVD Audio,Units,2017,0.061332251
DVD Audio,Units,2018,0.092803246
DVD Audio,Units,2019,0.027982262
SACD,Units,1973,
SACD,Units,1974,
SACD,Units,1975,
SACD,Units,1976,
SACD,Units,1977,
SACD,Units,1978,
SACD,Units,1979,
SACD,Units,1980,
SACD,Units,1981,
SACD,Units,1982,
SACD,Units,1983,
SACD,Units,1984,
SACD,Units,1985,
SACD,Units,1986,
SACD,Units,1987,
SACD,Units,1988,
SACD,Units,1989,
SACD,Units,1990,
SACD,Units,1991,
SACD,Units,1992,
SACD,Units,1993,
SACD,Units,1994,
SACD,Units,1995,
SACD,Units,1996,
SACD,Units,1997,
SACD,Units,1998,
SACD,Units,1999,
SACD,Units,2000,
SACD,Units,2001,
SACD,Units,2002,
SACD,Units,2003,1.3
SACD,Units,2004,0.8
SACD,Units,2005,0.5
SACD,Units,2006,0.3
SACD,Units,2007,0.2
SACD,Units,2008,0.1
SACD,Units,2009,0.1
SACD,Units,2010,0.1
SACD,Units,2011,0.1
SACD,Units,2012,0.065446
SACD,Units,2013,0.044683
SACD,Units,2014,0.030486
SACD,Units,2015,0.041633
SACD,Units,2016,0.045272
SACD,Units,2017,0.032749
SACD,Units,2018,0.032804
SACD,Units,2019,0.017654
Download Single,Units,1973,
Download Single,Units,1974,
Download Single,Units,1975,
Download Single,Units,1976,
Download Single,Units,1977,
Download Single,Units,1978,
Download Single,Units,1979,
Download Single,Units,1980,
Download Single,Units,1981,
Download Single,Units,1982,
Download Single,Units,1983,
Download Single,Units,1984,
Download Single,Units,1985,
Download Single,Units,1986,
Download Single,Units,1987,
Download Single,Units,1988,
Download Single,Units,1989,
Download Single,Units,1990,
Download Single,Units,1991,
Download Single,Units,1992,
Download Single,Units,1993,
Download Single,Units,1994,
Download Single,Units,1995,
Download Single,Units,1996,
Download Single,Units,1997,
Download Single,Units,1998,
Download Single,Units,1999,
Download Single,Units,2000,
Download Single,Units,2001,
Download Single,Units,2002,
Download Single,Units,2003,
Download Single,Units,2004,139.4
Download Single,Units,2005,366.9
Download Single,Units,2006,586.4
Download Single,Units,2007,819.4
Download Single,Units,2008,"1,042.70"
Download Single,Units,2009,"1,124.40"
Download Single,Units,2010,"1,177.40"
Download Single,Units,2011,"1,332.30"
Download Single,Units,2012,"1,402.74"
Download Single,Units,2013,"1,332.80"
Download Single,Units,2014,"1,154.38"
Download Single,Units,2015,986.2550359
Download Single,Units,2016,743.0034138
Download Single,Units,2017,553.5161518
Download Single,Units,2018,399.7738523
Download Single,Units,2019,335.3391935
Download Album,Units,1973,
Download Album,Units,1974,
Download Album,Units,1975,
Download Album,Units,1976,
Download Album,Units,1977,
Download Album,Units,1978,
Download Album,Units,1979,
Download Album,Units,1980,
Download Album,Units,1981,
Download Album,Units,1982,
Download Album,Units,1983,
Download Album,Units,1984,
Download Album,Units,1985,
Download Album,Units,1986,
Download Album,Units,1987,
Download Album,Units,1988,
Download Album,Units,1989,
Download Album,Units,1990,
Download Album,Units,1991,
Download Album,Units,1992,
Download Album,Units,1993,
Download Album,Units,1994,
Download Album,Units,1995,
Download Album,Units,1996,
Download Album,Units,1997,
Download Album,Units,1998,
Download Album,Units,1999,
Download Album,Units,2000,
Download Album,Units,2001,
Download Album,Units,2002,
Download Album,Units,2003,
Download Album,Units,2004,4.6
Download Album,Units,2005,13.6
Download Album,Units,2006,27.6
Download Album,Units,2007,49.8
Download Album,Units,2008,63.6
Download Album,Units,2009,74.5
Download Album,Units,2010,85.8
Download Album,Units,2011,103.9
Download Album,Units,2012,116.7336318
Download Album,Units,2013,117.979213
Download Album,Units,2014,114.2304708
Download Album,Units,2015,106.7838841
Download Album,Units,2016,85.12334989
Download Album,Units,2017,66.38610376
Download Album,Units,2018,49.73492454
Download Album,Units,2019,40.20271234
Kiosk,Units,1973,
Kiosk,Units,1974,
Kiosk,Units,1975,
Kiosk,Units,1976,
Kiosk,Units,1977,
Kiosk,Units,1978,
Kiosk,Units,1979,
Kiosk,Units,1980,
Kiosk,Units,1981,
Kiosk,Units,1982,
Kiosk,Units,1983,
Kiosk,Units,1984,
Kiosk,Units,1985,
Kiosk,Units,1986,
Kiosk,Units,1987,
Kiosk,Units,1988,
Kiosk,Units,1989,
Kiosk,Units,1990,
Kiosk,Units,1991,
Kiosk,Units,1992,
Kiosk,Units,1993,
Kiosk,Units,1994,
Kiosk,Units,1995,
Kiosk,Units,1996,
Kiosk,Units,1997,
Kiosk,Units,1998,
Kiosk,Units,1999,
Kiosk,Units,2000,
Kiosk,Units,2001,
Kiosk,Units,2002,
Kiosk,Units,2003,
Kiosk,Units,2004,
Kiosk,Units,2005,0.7
Kiosk,Units,2006,1.4
Kiosk,Units,2007,1.8
Kiosk,Units,2008,1.6
Kiosk,Units,2009,1.7
Kiosk,Units,2010,1.7
Kiosk,Units,2011,1.3
Kiosk,Units,2012,1.95507
Kiosk,Units,2013,3.7442
Kiosk,Units,2014,1.592073358
Kiosk,Units,2015,2.202659889
Kiosk,Units,2016,1.74878121
Kiosk,Units,2017,1.322377717
Kiosk,Units,2018,1.097856529
Kiosk,Units,2019,0.899703865
Download Music Video,Units,1973,
Download Music Video,Units,1974,
Download Music Video,Units,1975,
Download Music Video,Units,1976,
Download Music Video,Units,1977,
Download Music Video,Units,1978,
Download Music Video,Units,1979,
Download Music Video,Units,1980,
Download Music Video,Units,1981,
Download Music Video,Units,1982,
Download Music Video,Units,1983,
Download Music Video,Units,1984,
Download Music Video,Units,1985,
Download Music Video,Units,1986,
Download Music Video,Units,1987,
Download Music Video,Units,1988,
Download Music Video,Units,1989,
Download Music Video,Units,1990,
Download Music Video,Units,1991,
Download Music Video,Units,1992,
Download Music Video,Units,1993,
Download Music Video,Units,1994,
Download Music Video,Units,1995,
Download Music Video,Units,1996,
Download Music Video,Units,1997,
Download Music Video,Units,1998,
Download Music Video,Units,1999,
Download Music Video,Units,2000,
Download Music Video,Units,2001,
Download Music Video,Units,2002,
Download Music Video,Units,2003,
Download Music Video,Units,2004,
Download Music Video,Units,2005,1.9
Download Music Video,Units,2006,9.9
Download Music Video,Units,2007,14.2
Download Music Video,Units,2008,20.8
Download Music Video,Units,2009,20.5
Download Music Video,Units,2010,18.4
Download Music Video,Units,2011,16.3
Download Music Video,Units,2012,10.473489
Download Music Video,Units,2013,8.412464
Download Music Video,Units,2014,6.82264392
Download Music Video,Units,2015,3.223325002
Download Music Video,Units,2016,2.145427196
Download Music Video,Units,2017,1.399889693
Download Music Video,Units,2018,1.115985226
Download Music Video,Units,2019,0.93412583
Ringtones & Ringbacks,Units,1973,
Ringtones & Ringbacks,Units,1974,
Ringtones & Ringbacks,Units,1975,
Ringtones & Ringbacks,Units,1976,
Ringtones & Ringbacks,Units,1977,
Ringtones & Ringbacks,Units,1978,
Ringtones & Ringbacks,Units,1979,
Ringtones & Ringbacks,Units,1980,
Ringtones & Ringbacks,Units,1981,
Ringtones & Ringbacks,Units,1982,
Ringtones & Ringbacks,Units,1983,
Ringtones & Ringbacks,Units,1984,
Ringtones & Ringbacks,Units,1985,
Ringtones & Ringbacks,Units,1986,
Ringtones & Ringbacks,Units,1987,
Ringtones & Ringbacks,Units,1988,
Ringtones & Ringbacks,Units,1989,
Ringtones & Ringbacks,Units,1990,
Ringtones & Ringbacks,Units,1991,
Ringtones & Ringbacks,Units,1992,
Ringtones & Ringbacks,Units,1993,
Ringtones & Ringbacks,Units,1994,
Ringtones & Ringbacks,Units,1995,
Ringtones & Ringbacks,Units,1996,
Ringtones & Ringbacks,Units,1997,
Ringtones & Ringbacks,Units,1998,
Ringtones & Ringbacks,Units,1999,
Ringtones & Ringbacks,Units,2000,
Ringtones & Ringbacks,Units,2001,
Ringtones & Ringbacks,Units,2002,
Ringtones & Ringbacks,Units,2003,
Ringtones & Ringbacks,Units,2004,
Ringtones & Ringbacks,Units,2005,170
Ringtones & Ringbacks,Units,2006,315
Ringtones & Ringbacks,Units,2007,433.8
Ringtones & Ringbacks,Units,2008,405.1
Ringtones & Ringbacks,Units,2009,294.3
Ringtones & Ringbacks,Units,2010,188.5
Ringtones & Ringbacks,Units,2011,115.4
Ringtones & Ringbacks,Units,2012,58.75740356
Ringtones & Ringbacks,Units,2013,39.36623578
Ringtones & Ringbacks,Units,2014,26.63232368
Ringtones & Ringbacks,Units,2015,21.92486605
Ringtones & Ringbacks,Units,2016,22.62078539
Ringtones & Ringbacks,Units,2017,14.26286994
Ringtones & Ringbacks,Units,2018,10.02628673
Ringtones & Ringbacks,Units,2019,8.605769716
Paid Subscriptions,Units,1973,
Paid Subscriptions,Units,1974,
Paid Subscriptions,Units,1975,
Paid Subscriptions,Units,1976,
Paid Subscriptions,Units,1977,
Paid Subscriptions,Units,1978,
Paid Subscriptions,Units,1979,
Paid Subscriptions,Units,1980,
Paid Subscriptions,Units,1981,
Paid Subscriptions,Units,1982,
Paid Subscriptions,Units,1983,
Paid Subscriptions,Units,1984,
Paid Subscriptions,Units,1985,
Paid Subscriptions,Units,1986,
Paid Subscriptions,Units,1987,
Paid Subscriptions,Units,1988,
Paid Subscriptions,Units,1989,
Paid Subscriptions,Units,1990,
Paid Subscriptions,Units,1991,
Paid Subscriptions,Units,1992,
Paid Subscriptions,Units,1993,
Paid Subscriptions,Units,1994,
Paid Subscriptions,Units,1995,
Paid Subscriptions,Units,1996,
Paid Subscriptions,Units,1997,
Paid Subscriptions,Units,1998,
Paid Subscriptions,Units,1999,
Paid Subscriptions,Units,2000,
Paid Subscriptions,Units,2001,
Paid Subscriptions,Units,2002,
Paid Subscriptions,Units,2003,
Paid Subscriptions,Units,2004,
Paid Subscriptions,Units,2005,1.3
Paid Subscriptions,Units,2006,1.7
Paid Subscriptions,Units,2007,1.8
Paid Subscriptions,Units,2008,1.6
Paid Subscriptions,Units,2009,1.2
Paid Subscriptions,Units,2010,1.5
Paid Subscriptions,Units,2011,1.8
Paid Subscriptions,Units,2012,3.36
Paid Subscriptions,Units,2013,6.16
Paid Subscriptions,Units,2014,7.73
Paid Subscriptions,Units,2015,10.84
Paid Subscriptions,Units,2016,22.68
Paid Subscriptions,Units,2017,35.27350122
Paid Subscriptions,Units,2018,46.91132324
Paid Subscriptions,Units,2019,60.38194761
Paid Subscriptions,Units,1973,
Paid Subscriptions,Units,1974,
Paid Subscriptions,Units,1975,
Paid Subscriptions,Units,1976,
Paid Subscriptions,Units,1977,
Paid Subscriptions,Units,1978,
Paid Subscriptions,Units,1979,
Paid Subscriptions,Units,1980,
Paid Subscriptions,Units,1981,
Paid Subscriptions,Units,1982,
Paid Subscriptions,Units,1983,
Paid Subscriptions,Units,1984,
Paid Subscriptions,Units,1985,
Paid Subscriptions,Units,1986,
Paid Subscriptions,Units,1987,
Paid Subscriptions,Units,1988,
Paid Subscriptions,Units,1989,
Paid Subscriptions,Units,1990,
Paid Subscriptions,Units,1991,
Paid Subscriptions,Units,1992,
Paid Subscriptions,Units,1993,
Paid Subscriptions,Units,1994,
Paid Subscriptions,Units,1995,
Paid Subscriptions,Units,1996,
Paid Subscriptions,Units,1997,
Paid Subscriptions,Units,1998,
Paid Subscriptions,Units,1999,
Paid Subscriptions,Units,2000,
Paid Subscriptions,Units,2001,
Paid Subscriptions,Units,2002,
Paid Subscriptions,Units,2003,
Paid Subscriptions,Units,2004,
Paid Subscriptions,Units,2005,1.3
Paid Subscriptions,Units,2006,1.7
Paid Subscriptions,Units,2007,1.8
Paid Subscriptions,Units,2008,1.6
Paid Subscriptions,Units,2009,1.2
Paid Subscriptions,Units,2010,1.5
Paid Subscriptions,Units,2011,1.8
Paid Subscriptions,Units,2012,3.4
Paid Subscriptions,Units,2013,6.2
Paid Subscriptions,Units,2014,7.7
Paid Subscriptions,Units,2015,10.8
Paid Subscriptions,Units,2016,22.7
Paid Subscriptions,Units,2017,35.3
Paid Subscriptions,Units,2018,50.2
Paid Subscriptions,Units,2019,
CD,Value,1973,
CD,Value,1974,
CD,Value,1975,
CD,Value,1976,
CD,Value,1977,
CD,Value,1978,
CD,Value,1979,
CD,Value,1980,
CD,Value,1981,
CD,Value,1982,
CD,Value,1983,17.2
CD,Value,1984,103.3
CD,Value,1985,389.5
CD,Value,1986,930.1
CD,Value,1987,"1,593.60"
CD,Value,1988,"2,089.90"
CD,Value,1989,"2,587.70"
CD,Value,1990,"3,451.60"
CD,Value,1991,"4,337.70"
CD,Value,1992,"5,326.50"
CD,Value,1993,"6,511.40"
CD,Value,1994,"8,464.50"
CD,Value,1995,"9,377.40"
CD,Value,1996,"9,934.70"
CD,Value,1997,"9,915.10"
CD,Value,1998,"11,416"
CD,Value,1999,"12,816.30"
CD,Value,2000,"13,214.50"
CD,Value,2001,"12,909.40"
CD,Value,2002,"12,044.10"
CD,Value,2003,"11,232.90"
CD,Value,2004,"11,446.50"
CD,Value,2005,"10,520.20"
CD,Value,2006,"9,372.60"
CD,Value,2007,"7,452.30"
CD,Value,2008,"5,471.30"
CD,Value,2009,"4,318.80"
CD,Value,2010,"3,389.40"
CD,Value,2011,"3,100.70"
CD,Value,2012,"2,485.61"
CD,Value,2013,"2,140.92"
CD,Value,2014,"1,776.25"
CD,Value,2015,"1,444.99"
CD,Value,2016,"1,130.76"
CD,Value,2017,"1,057.32"
CD,Value,2018,698.3866372
CD,Value,2019,614.5097799
CD Single,Value,1973,
CD Single,Value,1974,
CD Single,Value,1975,
CD Single,Value,1976,
CD Single,Value,1977,
CD Single,Value,1978,
CD Single,Value,1979,
CD Single,Value,1980,
CD Single,Value,1981,
CD Single,Value,1982,
CD Single,Value,1983,
CD Single,Value,1984,
